time,longitude,latitude,FireMask,LST_Day_1km,LST_Night_1km,Emis_31,Emis_32,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,u_component_of_wind_10m,v_component_of_wind_10m,region
1514764800000,-123.1949580641512,39.20697057539652,3.0,14340.5,,246.0,245.0,494.0,1350.0,291.0,542.0,1436.5,1206.5,582.5,280.72326850891113,281.24779001871747,282.8336995442708,0.30405426025390625,0.299716313680013,0.310394287109375,-0.9119697411855062,-0.4754457076390584,1
1514851200000,-123.1949580641512,39.20697057539652,4.0,,,,,3398.0,4105.5,3418.5,3427.0,4071.0,2960.5,1787.5,282.91469446818036,282.2960618336995,282.87698618570965,0.2993157704671224,0.29894574483235675,0.310028076171875,-0.9765637715657552,-0.6118686199188232,1
1514937600000,-123.1949580641512,39.20697057539652,4.0,,,,,7293.5,7241.0,7499.5,7328.0,6805.5,4128.5,2403.5,283.5938472747803,283.2997506459554,283.0697326660156,0.2969004313151042,0.29791704813639325,0.3096466064453125,-1.2512766520182292,-0.350516676902771,1
1515024000000,-123.1949580641512,39.20697057539652,3.0,,13684.0,247.5,247.5,4149.0,4240.0,4391.0,4240.5,4081.0,3455.0,2078.0,283.22487386067706,283.2655321756999,283.2693869272868,0.3874365488688151,0.3181438446044922,0.3095041910807292,-1.8292096455891926,0.39060084025065106,1
1515110400000,-123.1949580641512,39.20697057539652,4.0,,,,,5474.5,5588.5,5579.0,5495.5,5126.5,3767.5,1970.5,284.25139300028485,283.8104082743327,283.46347490946454,0.3924357096354167,0.3446483612060547,0.3098227183024089,-0.5722738901774088,1.1524297793706257,1
1515196800000,-123.1949580641512,39.20697057539652,5.0,14185.5,13974.5,245.0,244.5,623.0,2008.0,374.0,675.0,2313.5,1659.0,802.0,282.53942680358887,283.1903489430745,283.6407190958659,0.3794441223144531,0.36661656697591144,0.3110160827636719,0.6657015482584635,-0.5685443878173828,1
1515283200000,-123.1949580641512,39.20697057539652,5.0,,13841.5,245.0,244.5,2582.0,3213.0,2672.0,2651.0,3155.5,2238.0,1326.0,280.48679478963214,281.8981164296468,283.6383686065674,0.3638165791829427,0.3635387420654297,0.3122049967447917,-0.4871101379394531,-0.16197975476582846,1
1515369600000,-123.1949580641512,39.20697057539652,4.0,,,,,9282.0,9192.0,9266.5,9248.0,8040.5,4446.0,3022.0,280.7733580271403,281.3615125020345,283.4655933380127,0.38979466756184894,0.3672033945719401,0.3133614857991536,-1.415204366048177,0.10595627625783284,1
1515456000000,-123.1949580641512,39.20697057539652,4.0,,,,,5633.5,6001.5,5567.5,5624.0,5804.0,4639.5,2563.5,282.2931950887044,282.10807037353516,283.35086886088055,0.4176781972249349,0.4145914713541667,0.3253765106201172,-0.2543506622314453,-0.6054719289143881,1
1515542400000,-123.1949580641512,39.20697057539652,4.0,,13811.0,250.0,248.0,5167.5,5392.5,5223.0,5189.5,5059.0,3725.5,1660.5,280.9470354715983,281.8452898661296,283.32619031270343,0.3989461263020833,0.4029216766357422,0.33638636271158856,0.8669454654057821,-0.8570079803466797,1
1515628800000,-123.1949580641512,39.20697057539652,4.0,,,,,6985.0,6979.0,7101.5,7009.0,6900.0,5497.0,3806.0,281.3512528737386,281.5944906870524,283.2252140045166,0.3880666097005208,0.39306894938151044,0.340298334757487,-0.011641144752502441,-0.08085016409556071,1
1515715200000,-123.1949580641512,39.20697057539652,4.0,,13982.0,248.5,248.0,5471.5,5999.0,5306.5,5436.0,6006.5,5045.5,3557.0,282.96422894795734,282.5433101654053,283.2041702270508,0.38817914326985675,0.38730621337890625,0.3427988688151042,0.4516424338022868,-0.3025999863942464,1
1515801600000,-123.1949580641512,39.20697057539652,4.0,13857.0,13867.0,247.5,244.5,1093.5,2361.5,812.5,1135.5,2441.5,1900.0,951.0,281.73501523335773,282.2446543375651,283.266409556071,0.37540308634440106,0.3812967936197917,0.34435780843098956,-0.7538038889567057,-0.6488081614176432,1
1515888000000,-123.1949580641512,39.20697057539652,3.5,,,,,3625.5,4078.5,3617.5,3617.0,4283.0,3812.5,2829.0,284.3033339182536,283.44372177124023,283.3252976735433,0.36613210042317706,0.37464332580566406,0.3451989491780599,-1.5059492588043213,-0.22443580627441406,1
1515974400000,-123.1949580641512,39.20697057539652,4.0,,,,,4120.5,5147.5,3705.5,4066.5,5290.0,3893.5,2465.5,283.886531829834,284.0123119354248,283.5407950083415,0.3589801788330078,0.36870066324869794,0.34562047322591144,-1.465775688489278,0.3506043752034505,1
1516060800000,-123.1949580641512,39.20697057539652,4.0,,,,,4975.5,5327.0,5173.0,5067.5,5080.0,3437.0,1945.0,283.9396387736003,283.81566111246747,283.6960309346517,0.3898906707763672,0.372165044148763,0.3460458119710286,-0.5299727121988932,0.33315086364746094,1
1516147200000,-123.1949580641512,39.20697057539652,4.0,,,,,1152.0,1941.5,1012.0,1212.5,2057.0,1665.0,1045.5,283.9517180124919,283.83474349975586,283.83114306132,0.37962977091471356,0.3774789174397786,0.34705034891764325,-0.6138553619384766,0.5255762736002604,1
1516233600000,-123.1949580641512,39.20697057539652,3.5,,13754.0,247.5,245.5,7309.0,7405.5,7364.5,7344.5,6663.0,4503.5,2730.0,283.85834248860675,284.12789789835614,283.9584725697835,0.39623133341471356,0.3811486562093099,0.34793345133463544,0.14974657694498697,0.8128079573313395,1
1516320000000,-123.1949580641512,39.20697057539652,4.0,,13932.0,248.0,248.0,5693.0,6151.5,5927.0,5792.0,5515.0,3362.0,2020.5,280.32458305358887,282.05125935872394,283.93710199991864,0.4194342295328776,0.4173094431559245,0.3538748423258464,0.9194393157958984,-0.0885236660639445,1
1516406400000,-123.1949580641512,39.20697057539652,4.0,14120.5,13764.5,246.5,246.0,575.0,1710.5,354.5,657.0,1920.0,1416.0,740.0,278.15650177001953,279.99392064412433,283.59329160054523,0.40093994140625,0.40661176045735675,0.3606224060058594,1.0861701965332031,-1.2669406334559123,1
1516492800000,-123.1949580641512,39.20697057539652,3.5,,,,,5350.0,5522.5,5489.0,5395.5,5434.5,3949.0,2221.0,278.47458521525067,279.61560948689777,283.1301784515381,0.3881409962972005,0.3958625793457031,0.3634866078694661,0.08462460835774739,-0.0984432299931844,1
1516579200000,-123.1949580641512,39.20697057539652,4.0,14162.0,,246.0,243.0,758.0,2090.0,574.0,864.5,2200.0,1645.0,709.5,280.8234411875407,280.6021099090576,282.7918529510498,0.4212646484375,0.42387835184733075,0.3805459340413411,0.25471655527750653,0.5645593007405599,1
1516665600000,-123.1949580641512,39.20697057539652,5.0,,13841.5,246.0,243.0,4638.5,5171.5,4541.0,4648.0,5082.0,4038.0,2737.0,280.6428934733073,281.11886914571124,282.6840699513753,0.3971258799235026,0.40975507100423175,0.3906434377034505,-0.48001734415690106,0.10314802328745525,1
